complexity,sql,question
Simple,"SELECT ra, dec, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE parallax IS NULL;","List the RA, Dec, and G-band magnitude for stars without a parallax measurement."
Medium,SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE parallax > 0.1 AND phot_g_mean_mag < 15,How many sources in Gaia DR3 have a parallax greater than 0.1 milliarcseconds and a G magnitude less than 15?
Medium,"SELECT AVG(parallax), AVG(phot_g_mean_mag) FROM gaiadr3.gaia_source WHERE ra BETWEEN 1 AND 2 AND dec BETWEEN -1 AND 0",What are the average parallax and G magnitude for sources in Gaia DR3 within the RA range of 1 to 2 and DEC range of -1 to 0?
Medium,"SELECT ra, dec, pmra, pmdec FROM gaiadr3.gaia_source WHERE phot_g_mean_mag < 18 AND (pmra > 10 OR pmdec > 10)","Provide the RA, DEC, proper motion in RA (pmra), and proper motion in DEC (pmdec) for sources in Gaia DR3 with G magnitude less than 18 and with a proper motion in either RA or DEC greater than 10 milliarcseconds per year."
Medium,SELECT COUNT(DISTINCT pmra) FROM gaiadr3.gaia_source WHERE parallax > 0.1 AND pmra > 5,How many distinct positive proper motions in RA (pmra) are there for sources in Gaia DR3 with a parallax greater than 0.1 milliarcseconds and a pmra greater than 5 milliarcseconds per year?
Medium,SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE (pmra BETWEEN -10 AND 10) AND (pmdec BETWEEN -10 AND 10) AND parallax BETWEEN 0.05 AND 0.15,How many sources in Gaia DR3 have a parallax between 0.05 and 0.15 milliarcseconds and a proper motion in both RA and DEC within 10 milliarcseconds per year?
Medium,SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE (pmra BETWEEN -10 AND 10) AND (pmdec BETWEEN -10 AND 10) AND parallax BETWEEN 0.05 AND 0.15 AND parallax_error < 0.05,"How many sources in Gaia DR3 have a parallax between 0.05 and 0.15 milliarcseconds, a parallax error less than 0.05 milliarcseconds, and a proper motion in both RA and DEC within 10 milliarcseconds per year?"
Medium,1.  SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE parallax > 0.1 AND phot_g_mean_mag < 15 AND parallax_error < 0.05,"How many sources in Gaia DR3 have a parallax greater than 0.1 milliarcseconds, a G magnitude less than 15, and a parallax error less than 0.05 milliarcseconds?"
Medium,"2.  SELECT AVG(parallax), AVG(phot_g_mean_mag) FROM gaiadr3.gaia_source WHERE ra BETWEEN 1 AND 2 AND dec BETWEEN -1 AND 0 AND parallax_error < 0.05","What are the average parallax and G magnitude for sources in Gaia DR3 within the RA range of 1 to 2 and DEC range of -1 to 0, with a parallax error less than 0.05 milliarcseconds?"
Medium,"3.  SELECT ra, dec, pmra, pmdec FROM gaiadr3.gaia_source WHERE phot_g_mean_mag < 18 AND (pmra > 10 OR pmdec > 10) AND parallax_error < 0.05","Provide the RA, DEC, proper motion in RA (pmra), and proper motion in DEC (pmdec) for sources in Gaia DR3 with G magnitude less than 18 and with a proper motion in either RA or DEC greater than 10 milliarcseconds per year, and a parallax error less than 0.05 milliarcseconds."
Complex,"SELECT ra, dec, parallax, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE parallax / parallax_error > 5 AND phot_g_mean_mag < 15.0",Which stars in Gaia DR3 have a parallax-to-error ratio greater than 5 and have a G magnitude less than 15.0?
Complex,"SELECT ra, dec, pmra, pmdec, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE (pmra > 100 AND pmdec > 100) OR (pmra < -100 AND pmdec < -100)",Identify stars in Gaia DR3 that have proper motions in both RA and Dec greater than 100 mas/yr or both less than -100 mas/yr.
Complex,"SELECT ra, dec, parallax, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE ra BETWEEN 30 AND 40 AND dec BETWEEN -10 AND -5 AND parallax > 0.1",Find stars in the region of the sky with RA between 30 and 40 degrees and Dec between -10 and -5 degrees that have a positive parallax greater than 0.1 mas.
Complex,"SELECT ra, dec, phot_g_mean_mag, (pmra * pmra + pmdec * pmdec) AS pmagnitude FROM gaiadr3.gaia_source WHERE phot_g_mean_mag BETWEEN 10 AND 15 AND (pmra * pmra + pmdec * pmdec) > 10000",List stars in Gaia DR3 with G magnitudes between 10 and 15 that have a combined proper motion magnitude greater than 100 mas/yr.
Complex,"SELECT ra, dec, parallax, phot_g_mean_mag, COUNT(*) AS count FROM gaiadr3.gaia_source WHERE parallax BETWEEN 0.05 AND 0.2 AND phot_g_mean_mag BETWEEN 5 AND 10 GROUP BY ra, dec, parallax, phot_g_mean_mag","Count the number of stars in Gaia DR3 with parallaxes between 0.05 and 0.2 mas and G magnitudes between 5 and 10 in each unique pixel defined by ra, dec, parallax, and G magnitude."
Complex,"SELECT ra, dec, parallax, phot_g_mean_mag, parallax_over_error_flag FROM gaiadr3.gaia_source WHERE parallax / parallax_error > 5 AND phot_g_mean_mag < 15.0","Which stars in Gaia DR3 have a parallax-to-error ratio greater than 5, a G magnitude less than 15.0, and a valid parallax quality flag?"
Complex,"SELECT ra, dec, pmra, pmdec, phot_g_mean_mag, parallax_over_error_flag FROM gaiadr3.gaia_source WHERE (pmra > 100 AND pmdec > 100) OR (pmra < -100 AND pmdec < -100) AND parallax_over_error_flag = 0",Identify stars in Gaia DR3 that have proper motions in both RA and Dec greater than 100 mas/yr or both less than -100 mas/yr and a valid parallax quality flag.
Complex,"SELECT ra, dec, parallax, phot_g_mean_mag, parallax_over_error_flag FROM gaiadr3.gaia_source WHERE ra BETWEEN 30 AND 40 AND dec BETWEEN -10 AND -5 AND parallax > 0.1 AND parallax_over_error_flag = 0",Find stars in the region of the sky with RA between 30 and 40 degrees and Dec between -10 and -5 degrees that have a positive parallax greater than 0.1 mas and a valid parallax quality flag.
Complex,"SELECT ra, dec, phot_g_mean_mag, (pmra * pmra + pmdec * pmdec) AS pmagnitude, parallax_over_error_flag FROM gaiadr3.gaia_source WHERE phot_g_mean_mag BETWEEN 10 AND 15 AND (pmra * pmra + pmdec * pmdec) > 10000 AND parallax_over_error_flag = 0",List stars in Gaia DR3 with G magnitudes between 10 and 15 that have a combined proper motion magnitude greater than 100 mas/yr and a valid parallax quality flag.
Simple,"SELECT ra, dec FROM gaiadr3.gaia_source WHERE ra BETWEEN 0 AND 180",What are the right ascensions and declinations for stars in the first half of the sky?
Simple,SELECT parallax FROM gaiadr3.gaia_source WHERE parallax > 0.02,What is the list of stars with a parallax greater than 0.02 milliarcseconds?
Simple,SELECT phot_g_mean_mag FROM gaiadr3.gaia_source WHERE phot_g_mean_mag < 10,What is the catalog of stars with a G-band magnitude less than 10?
Simple,"SELECT pmra, pmdec FROM gaiadr3.gaia_source WHERE pmra > 5 AND pmdec > 5",What are the proper motions in right ascension and declination for stars with proper motions greater than 5 milliarcseconds per year in both directions?
Simple,SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE parallax BETWEEN 0.01 AND 0.02,How many stars have a parallax between 0.01 and 0.02 milliarcseconds?
Simple,"SELECT ra, dec FROM gaiadr3.gaia_source WHERE ra BETWEEN 0 AND 180",What are the right ascensions and declinations for stars in the first half of the sky?
Simple,SELECT parallax FROM gaiadr3.gaia_source WHERE parallax > 0.02,What is the list of stars with a parallax greater than 0.02 milliarcseconds?
Simple,SELECT phot_g_mean_mag FROM gaiadr3.gaia_source WHERE phot_g_mean_mag < 10,What is the catalog of stars with a G-band magnitude less than 10?
Simple,"SELECT pmra, pmdec FROM gaiadr3.gaia_source WHERE pmra > 5 AND pmdec > 5",What are the proper motions in right ascension and declination for stars with proper motions greater than 5 milliarcseconds per year in both directions?
Simple,SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE parallax BETWEEN 0.01 AND 0.02,How many stars have a parallax between 0.01 and 0.02 milliarcseconds?
Medium,[SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE parallax > 1.0],How many stars in the Gaia DR3 have a parallax measurement greater than 1.0 milliarcseconds?
Medium,"[SELECT AVG(phot_g_mean_mag), COUNT(*) FROM gaiadr3.gaia_source WHERE phot_g_mean_mag < 15.0]",What is the average G-band magnitude and the count of stars with a G-band magnitude less than 15.0 in the Gaia DR3?
Medium,"[SELECT ra, dec, parallax FROM gaiadr3.gaia_source WHERE pmra BETWEEN -10.0 AND 10.0 AND pmdec BETWEEN -10.0 AND 10.0]","Retrieve the right ascension, declination, and parallax for stars with proper motions in the range of -10.0 to 10.0 milliarcseconds per year in both RA and Dec directions."
Medium,[SELECT COUNT(DISTINCT phot_g_mean_mag) FROM gaiadr3.gaia_source WHERE parallax IS NOT NULL],How many unique G-band magnitudes are recorded for stars with a non-null parallax measurement in the Gaia DR3?
Medium,"[SELECT ra, dec, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE ra BETWEEN 35.0 AND 40.0 AND dec BETWEEN -10.0 AND 0.0]","Provide the right ascension, declination, and G-band magnitude for stars located in the sky region between RA 35.0 and 40.0 degrees and Dec -10.0 and 0.0 degrees in the Gaia DR3."
Medium,[SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE phot_g_mean_mag BETWEEN 5.0 AND 10.0],How many stars in the Gaia DR3 have a G-band magnitude between 5.0 and 10.0?
Medium,"[SELECT AVG(parallax), COUNT(*) FROM gaiadr3.gaia_source WHERE parallax IS NOT NULL]",What is the average parallax and the count of stars with a non-null parallax measurement in the Gaia DR3?
Medium,"[SELECT ra, dec FROM gaiadr3.gaia_source WHERE pmra > 10.0 AND pmdec > 10.0]",Retrieve the right ascension and declination for stars with proper motions greater than 10.0 milli
Complex,"SELECT ra, dec, parallax, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE parallax > 10 AND phot_g_mean_mag < 15",Which stars in the Gaia DR3 catalog have a parallax greater than 10 milliarcseconds and a G magnitude less than 15?
Complex,"SELECT ra, dec, pmra, pmdec FROM gaiadr3.gaia_source WHERE pmra BETWEEN -100 AND 100 AND pmdec BETWEEN -100 AND 100 AND parallax > 5","What stars in the Gaia DR3 catalog have proper motions between -100 and 100 milliarcseconds per year in both RA and Dec, and a parallax greater than 5 milliarcseconds?"
Complex,"SELECT ra, dec, phot_g_mean_mag, (pmra * pmra + pmdec * pmdec) AS pmagnitude FROM gaiadr3.gaia_source WHERE phot_g_mean_mag < 20 AND (pmra * pmra + pmdec * pmdec) > 1000",Which stars in the Gaia DR3 catalog have a G magnitude less than 20 and a combined proper motion magnitude greater than 1000 milliarcseconds per year squared?
Complex,"SELECT ra, dec, parallax, COUNT(*) AS star_count FROM gaiadr3.gaia_source WHERE parallax > 1 AND phot_g_mean_mag < 18 GROUP BY ra, dec, parallax ORDER BY parallax DESC","How many stars are there in the Gaia DR3 catalog for each location with a parallax greater than 1 milliarcsecond and a G magnitude less than 18, sorted by decreasing parallax?"
Complex,"SELECT ra, dec, phot_g_mean_mag, SQRT(pmra * pmra + pmdec * pmdec) AS proper_motion FROM gaiadr3.gaia_source WHERE phot_g_mean_mag BETWEEN 10 AND 15 AND parallax BETWEEN 1 AND 5 ORDER BY proper_motion ASC","Which stars in the Gaia DR3 catalog with a G magnitude between 10 and 15 and a parallax between 1 and 5 milliarcseconds have the lowest proper motion, and what is their proper motion magnitude?"
Simple,"SELECT ra, dec FROM gaiadr3.gaia_source WHERE parallax > 0.1",What are the right ascension and declination values for stars with a parallax greater than 0.1 milliarcseconds?
Simple,SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE phot_g_mean_mag < 15.0,How many stars in the Gaia database have a G magnitude less than 15.0?
Simple,"SELECT ra, dec, parallax FROM gaiadr3.gaia_source WHERE ra BETWEEN 0 AND 1","What are the right ascension, declination, and parallax values for stars with right ascension between 0 and 1 hours?"
Simple,"SELECT pmra, pmdec FROM gaiadr3.gaia_source WHERE pmra > 100",What are the proper motions in right ascension (pmra) and declination (pmdec) for stars with a proper motion in right ascension greater than 100 mas/year?
Simple,SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE dec BETWEEN -10 AND 10,How many stars in the Gaia database have declination values between -10 and 10 degrees?
Simple,"1.  SELECT ra, dec FROM gaiadr3.gaia_source WHERE phot_g_mean_mag < 18.0",What are the right ascension and declination values for stars with a G magnitude less than 18.0?
Simple,2.  SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE parallax IS NULL,How many stars in the Gaia database do not have a parallax value recorded?
Simple,"3.  SELECT ra, dec, parallax FROM gaiadr3.gaia_source WHERE ra BETWEEN 180 AND 190","What are the right ascension, declination, and parallax values for stars with right ascension between 180 and 190 hours?"
Simple,4.  SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE phot_g_mean_mag BETWEEN 14.0 AND 16.0,How many stars in the Gaia database have a G magnitude between 14.0 and 16.0?
Simple,"5.  SELECT ra, dec, pmra, pmdec FROM gaiadr3.gaia_source WHERE pmra BETWEEN -100 AND -50","What are the right ascension, declination, proper motion in right ascension (pmra), and proper motion in declination (pmdec) values for stars with a proper motion in right ascension between -100 and -50 mas/year?"
Simple,1.  SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE phot_g_mean_mag < 18.0,How many stars in the Gaia database have a G magnitude less than 18.0?
Simple,2.  SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE parallax IS NULL,How many stars in the Gaia database do not have a parallax value recorded?
Simple,"3.  SELECT ra, dec, parallax FROM gaiadr3.gaia_source WHERE ra BETWEEN 180 AND 190","What are the right ascension, declination, and parallax values for stars with right ascension between 180 and 190 hours?"
Simple,4.  SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE phot_g_mean_mag BETWEEN 14.0 AND 16.0,How many stars in the Gaia database have a G magnitude between 14.0 and 16.0?
Simple,"5.  SELECT ra, dec, pmra, pmdec FROM gaiadr3.gaia_source WHERE pmra BETWEEN -100 AND -50","What are the right ascension, declination, proper motion in right ascension (pmra), and proper motion in declination (pmdec) values for stars with a proper motion in right ascension between -100 and -50 mas/year?"
Medium,"SELECT ra, dec, parallax, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE parallax > 0.1 AND phot_g_mean_mag < 11","What are the right ascension, declination, parallax, and G magnitude for stars with a parallax greater than 0.1 milliarcseconds and a G magnitude less than 11?"
Medium,"SELECT ra, dec, pmra, pmdec FROM gaiadr3.gaia_source WHERE pmra BETWEEN -50 AND 50 AND pmdec BETWEEN -50 AND 50","List the right ascension, declination, proper motion in right ascension (pmra), and proper motion in declination (pmdec) for stars where the proper motion in both directions is within the range of -50 to 50 milliarcseconds per year."
Medium,"SELECT ra, dec, parallax FROM gaiadr3.gaia_source WHERE ra BETWEEN 10 AND 20 AND dec BETWEEN -10 AND 10","Provide the right ascension, declination, and parallax for stars located between 10 and 20 degrees in right ascension and between -10 and 10 degrees in declination."
Medium,"SELECT ra, dec, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE phot_g_mean_mag BETWEEN 8 AND 15 AND parallax < 0.05","Identify the right ascension, declination, and G magnitude for stars with a G magnitude between 8 and 15 and a parallax less than 0.05 milliarcseconds."
Medium,"SELECT ra, dec, pmra, pmdec FROM gaiadr3.gaia_source WHERE ra > 180 AND dec > 45 AND (pmra > 150 OR pmdec > 150)","Retrieve the right ascension, declination, proper motion in right ascension (pmra), and proper motion in declination (pmdec)"
Complex,"SELECT ra, dec, parallax, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE parallax > 1 AND phot_g_mean_mag < 15",Which stars in the Gaia DR3 catalog have a parallax greater than 1 mas and a G-band magnitude less than 15?
Complex,"SELECT ra, dec, pmra, pmdec FROM gaiadr3.gaia_source WHERE ra BETWEEN 1 AND 2 AND dec BETWEEN -1 AND 0 AND pmra > 100","What stars in the Gaia DR3 catalog, located between RA 1 and 2 degrees and Dec -1 and 0 degrees, have a proper motion in right ascension greater than 100 mas/yr?"
Complex,"SELECT ra, dec, parallax, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE (ra BETWEEN 270 AND 300) AND (dec BETWEEN -30 AND -20) AND (phot_g_mean_mag - 5*log10(parallax) + 5) > 15","Which stars in the Gaia DR3 catalog, located between RA 270 and 300 degrees and Dec -30 and -20 degrees, have an apparent magnitude greater than 15?"
Complex,"SELECT ra, dec, parallax, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE (ra BETWEEN 0 AND 3) AND (dec BETWEEN 0 AND 3) AND (phot_g_mean_mag - 5*log10(parallax) + 5) BETWEEN 10 AND 15","What stars in the Gaia DR3 catalog, located between RA 0 and 3 degrees and Dec 0 and 3 degrees, have an apparent magnitude between 10 and 15?"
Complex,"SELECT ra, dec, pmra, pmdec FROM gaiadr3.gaia_source WHERE (pmra**2 + pmdec**2) > 10000 AND (ra BETWEEN 180 AND 190) AND (dec BETWEEN -60 AND -50)","Which stars in the Gaia DR3 catalog, located between RA 180 and 190 degrees and Dec -60 and -50 degrees, have a combined proper motion greater than 100 mas/yr?"
Simple,"SELECT ra, dec FROM gaiadr3.gaia_source WHERE ra BETWEEN 0 AND 30",What are the right ascensions and declinations of stars within the first 30 degrees of right ascension?
Simple,"SELECT parallax, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE parallax < 0.01",What is the parallax and G magnitude of stars with a parallax less than 0.01 milliarcseconds?
Simple,"SELECT pmra, pmdec FROM gaiadr3.gaia_source WHERE pmra > 5 AND pmdec > 5",What are the proper motions in right ascension and declination for stars with proper motions in both coordinates greater than 5 milliarcseconds/year?
Simple,"SELECT ra, dec, parallax FROM gaiadr3.gaia_source WHERE dec BETWEEN -20 AND -10","What are the right ascensions, declinations, and parallaxes of stars within 20 to 10 degrees south of the celestial equator?"
Simple,SELECT phot_g_mean_mag FROM gaiadr3.gaia_source WHERE phot_g_mean_mag > 15,What is the G magnitude of stars that are fainter than magnitude 15?
Simple,".""' SELECT ra, dec FROM gaiadr3.gaia_source WHERE ra BETWEEN 0 AND 30",What are the right ascensions and declinations of stars within the first 30 degrees of right ascension?
Simple,"SELECT parallax, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE parallax < 0.01",What is the parallax and G magnitude of stars with a parallax less than 0.01 milliarcseconds?
Simple,"SELECT pmra, pmdec FROM gaiadr3.gaia_source WHERE pmra > 5 AND pmdec > 5",What are the proper motions in right ascension and declination for stars with proper motions in both coordinates greater than 5
Medium,"SELECT source_id, ra, dec, parallax, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE parallax > 0.2 AND phot_g_mean_mag < 15.0 AND pmra BETWEEN -100.0 AND 100.0 AND pmdec BETWEEN -100.0 AND 100.0","Which stars in the Gaia DR3 catalog have a parallax greater than 0.2 milliarcseconds, a G magnitude less than 15, and proper motions between -100 and 100 milliarcseconds per year?"
Medium,"SELECT source_id, ra, dec, parallax, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE ra > 30.0 AND ra < 60.0 AND dec > -30.0 AND dec < -20.0 AND parallax > 0.1","List the stars in the Gaia DR3 catalog that are located within the specified region of the sky (RA between 30 and 60 degrees, Dec between -30 and -20 degrees) with a parallax greater than 0.1 milliarcseconds."
Medium,"SELECT source_id, ra, dec, parallax, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE pmra > 50.0 AND pmdec > 50.0 AND phot_g_mean_mag < 10.0",Identify the stars in the Gaia DR3 catalog that have positive proper motions greater than 50 milliarcseconds per year and a G magnitude less than 10.
Medium,"SELECT source_id, ra, dec, parallax, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE pmra BETWEEN -50.0 AND 50.0 AND pmdec BETWEEN -50.0 AND 50.0 AND phot_g_mean_mag > 15.0",Retrieve the stars in the Gaia DR3
Complex,"SELECT ra, dec, parallax, phot_g_mean_mag, pmra, pmdec FROM gaiadr3.gaia_source WHERE parallax > 1.0 AND phot_g_mean_mag < 15.0",Retrieve the sources with a parallax greater than 1.0 milliarcseconds and a G magnitude less than 15.0.
Complex,"SELECT ra, dec, parallax, phot_g_mean_mag, pmra, pmdec FROM gaiadr3.gaia_source WHERE ra BETWEEN 30.0 AND 40.0 AND dec BETWEEN -20.0 AND -10.0",Fetch the sources located in the sky region with Right Ascension between 30.0 and 40.0 degrees and Declination between -20.0 and -10.0 degrees.
Complex,"SELECT ra, dec, parallax, phot_g_mean_mag, pmra, pmdec FROM gaiadr3.gaia_source WHERE (pmra**2 + pmdec**2) > 1000.0 AND parallax > 0.5",Retrieve the sources with a combined proper motion (pmra^2 + pmdec^2) greater than 1000 mas^2/year and a parallax greater than 0.5 milliarcseconds.
Complex,"SELECT ra, dec, parallax, phot_g_mean_mag, pmra, pmdec FROM gaiadr3.gaia_source WHERE ra % 15.0 = 0.0 AND (phot_g_mean_mag - phot_rp_mean_mag) > 2.0",Fetch the sources whose Right Ascension is a multiple of 15.0 degrees and have a G-RP color greater than 2.0.
Complex,"SELECT ra, dec, parallax, phot_g_mean_mag, pmra, pmdec FROM gaiadr3.gaia_source WHERE (ra - pmra/10.0) % 15.0 = 0.0 AND (dec - pmdec/10.0) % 10.0 = 0.0","Retrieve the sources where the Right Ascension adjusted by subtracting a tenth of the proper motion in RA and the Declination adjusted by subtracting a tenth of the proper motion in Dec are both multiples of 15.0 and 10.0 degrees, respectively."
Complex,,"Calculate the median of `parallax` and `phot_g_mean_mag` for each unique `source_id` and include the corresponding `ra`, `dec`, `pmra`, and `pmdec` values."
Complex,,Calculate the median of `parallax
